gene_ID,pathway_count
hsa:27330,10
hsa:57506,10
hsa:1288,10
hsa:1287,10
hsa:1284,10
hsa:32,10
hsa:7280,10
hsa:8394,10
hsa:8797,10
hsa:6195,10
hsa:5465,10
hsa:727,10
hsa:9550,10
hsa:1286,10
hsa:8795,10
hsa:81579,10
hsa:23396,10
hsa:10891,10
hsa:84617,10
hsa:2549,10
hsa:2277,10
hsa:537,10
hsa:5319,10
hsa:1285,10
hsa:81027,10
hsa:2893,10
hsa:8743,10
hsa:3800,10
hsa:9965,10
hsa:5592,10
hsa:10381,10
hsa:5593,10
hsa:347688,10
hsa:1812,10
hsa:9296,10
hsa:1030,10
hsa:2915,10
hsa:5313,10
hsa:941,10
hsa:51382,10
hsa:26279,10
hsa:6194,10
hsa:8399,10
hsa:30814,10
hsa:50487,10
hsa:283106,10
hsa:3030,10
hsa:7979,10
hsa:10383,10
hsa:10382,10
hsa:5062,10
hsa:1457,10
hsa:8395,10
hsa:1459,10
hsa:624,10
hsa:347733,10
hsa:10018,10
hsa:3791,10
hsa:1375,10
hsa:8408,10
hsa:3798,10
hsa:529,10
hsa:8398,10
hsa:4878,10
hsa:4881,10
hsa:391013,10
hsa:3562,10
hsa:528,10
hsa:114609,10
hsa:526,10
hsa:23586,10
hsa:1460,10
hsa:90423,10
hsa:523,10
hsa:3799,10
hsa:525,10
hsa:5063,10
hsa:8945,9
hsa:2214,9
hsa:4041,9
hsa:4040,9
hsa:7098,9
hsa:1374,9
hsa:8878,9
hsa:8877,9
hsa:3309,9
hsa:1644,9
hsa:2181,9
hsa:2215,9
hsa:316,9
hsa:2180,9
hsa:440738,9
hsa:2182,9
hsa:154,9
hsa:7423,9
hsa:7535,9
hsa:340156,9
hsa:3572,9
hsa:3915,9
hsa:7412,9
hsa:182,9
hsa:2099,9
hsa:2264,9
hsa:87,9
hsa:3762,9
hsa:131,9
hsa:3672,9
hsa:3910,9
hsa:3696,9
hsa:31,9
hsa:8651,9
hsa:4214,9
hsa:3827,9
hsa:130,9
hsa:30849,9
hsa:1559,9
hsa:90550,9
hsa:155066,9
hsa:4638,9
hsa:8611,9
hsa:8992,9
hsa:3680,9
hsa:1839,9
hsa:8612,9
hsa:8613,9
hsa:7054,9
hsa:85366,9
hsa:8516,9
hsa:81631,9
hsa:653857,9
hsa:54106,9
hsa:10109,9
hsa:9474,9
hsa:23305,9
hsa:10097,9
hsa:11047,9
hsa:23291,9
hsa:10095,9
hsa:10094,9
hsa:10093,9
hsa:10092,9
hsa:811,9
hsa:51703,9
hsa:5162,9
hsa:5161,9
hsa:5160,9
hsa:51561,9
hsa:2321,9
hsa:81,9
hsa:5777,9
hsa:627,9
hsa:6263,9
hsa:5868,9
hsa:116443,9
hsa:116444,9
hsa:493,9
hsa:492,9
hsa:2597,9
hsa:2752,9
hsa:490,9
hsa:1081,9
hsa:56848,9
hsa:56288,9
hsa:643246,9
hsa:10298,9
hsa:5701,9
hsa:5702,9
hsa:5704,9
hsa:5705,9
hsa:5706,9
hsa:10552,9
hsa:81873,9
hsa:5707,9
hsa:5708,9
hsa:5709,9
hsa:5710,9
hsa:5713,9
hsa:5714,9
hsa:27113,9
hsa:27165,9
hsa:5717,9
hsa:5718,9
hsa:57180,9
hsa:5719,9
hsa:10213,9
hsa:2744,9
hsa:84557,9
hsa:9861,9
hsa:491,9
hsa:10096,9
hsa:9252,9
hsa:4854,9
hsa:91807,9
hsa:127,9
hsa:126,9
hsa:124,9
hsa:4803,9
hsa:1234,9
hsa:4851,9
hsa:4853,9
hsa:125,9
hsa:652,8
hsa:259307,8
hsa:6348,8
hsa:3073,8
hsa:3074,8
hsa:22798,8
hsa:143471,8
hsa:126129,8
hsa:2990,8
hsa:4254,8
hsa:8789,8
hsa:1128,8
hsa:55062,8
hsa:2322,8
hsa:8976,8
hsa:8704,8
hsa:6470,8
hsa:6472,8
hsa:3948,8
hsa:919,8
hsa:2203,8
hsa:3945,8
hsa:1514,8
hsa:3033,8
hsa:5526,8
hsa:257397,8
hsa:3679,8
hsa:6502,8
hsa:2683,8
hsa:22801,8
hsa:4312,8
hsa:2207,8
hsa:4794,8
hsa:4659,8
hsa:714,8
hsa:6647,8
hsa:3939,8
hsa:6233,8
hsa:4689,8
hsa:1558,8
hsa:983,8
hsa:35,8
hsa:414062,8
hsa:6891,8
hsa:8600,8
hsa:3596,8
hsa:218,8
hsa:1545,8
hsa:60673,8
hsa:4804,8
hsa:5687,8
hsa:5529,8
hsa:5528,8
hsa:9133,8
hsa:55276,8
hsa:5527,8
hsa:1548,8
hsa:6890,8
hsa:57144,8
hsa:5236,8
hsa:3417,8
hsa:3691,8
hsa:6349,8
hsa:1452,8
hsa:22863,8
hsa:1454,8
hsa:2324,8
hsa:5715,8
hsa:106821730,8
hsa:10627,8
hsa:1902,8
hsa:155,8
hsa:1549,8
hsa:11145,8
hsa:5525,8
hsa:160287,8
hsa:221,8
hsa:3918,8
hsa:2998,8
hsa:587,8
hsa:92483,8
hsa:8515,8
hsa:1495,8
hsa:1080,8
hsa:2997,8
hsa:6514,8
hsa:1813,8
hsa:5690,8
hsa:103910,8
hsa:3418,8
hsa:2147,8
hsa:9776,8
hsa:5598,8
hsa:3765,8
hsa:382,8
hsa:6261,8
hsa:332,8
hsa:9706,8
hsa:10327,8
hsa:10163,8
hsa:5688,8
hsa:7531,8
hsa:10319,8
hsa:5686,8
hsa:29119,8
hsa:5685,8
hsa:5684,8
hsa:100506742,8
hsa:5054,8
hsa:5683,8
hsa:6794,8
hsa:1496,8
hsa:5682,8
hsa:7494,8
hsa:5689,8
hsa:3909,8
hsa:3694,8
hsa:5691,8
hsa:340061,8
hsa:3912,8
hsa:222,8
hsa:102800317,8
hsa:3566,8
hsa:712,8
hsa:3913,8
hsa:8913,8
hsa:7311,8
hsa:3914,8
hsa:5693,8
hsa:26100,8
hsa:824,8
hsa:7450,8
hsa:3911,8
hsa:867,8
hsa:56924,8
hsa:586,8
hsa:30,8
hsa:5694,8
hsa:5695,8
hsa:5692,8
hsa:122011,8
hsa:84876,8
hsa:713,8
hsa:5443,8
hsa:4055,7
hsa:6517,7
hsa:89869,7
hsa:7316,7
hsa:18,7
hsa:151056,7
hsa:55102,7
hsa:1509,7
hsa:9846,7
hsa:5523,7
hsa:2746,7
hsa:4049,7
hsa:9568,7
hsa:2720,7
hsa:1785,7
hsa:4625,7
hsa:55012,7
hsa:2271,7
hsa:7360,7
hsa:786,7
hsa:10645,7
hsa:84335,7
hsa:55799,7
hsa:8912,7
hsa:8911,7
hsa:891,7
hsa:55811,7
hsa:5584,7
hsa:7430,7
hsa:10411,7
hsa:9170,7
hsa:64837,7
hsa:10369,7
hsa:10368,7
hsa:23643,7
hsa:3831,7
hsa:388372,7
hsa:2572,7
hsa:7529,7
hsa:760,7
hsa:823,7
hsa:257202,7
hsa:375,7
hsa:7414,7
hsa:27092,7
hsa:27091,7
hsa:27035,7
hsa:5551,7
hsa:1555,7
hsa:3991,7
hsa:2100,7
hsa:1573,7
hsa:7408,7
hsa:9821,7
hsa:55626,7
hsa:3280,7
hsa:8936,7
hsa:6401,7
hsa:8837,7
hsa:3937,7
hsa:868,7
hsa:1728,7
hsa:7534,7
hsa:9560,7
hsa:59283,7
hsa:5136,7
hsa:5137,7
hsa:1139,7
hsa:2213,7
hsa:7128,7
hsa:2846,7
hsa:2550,7
hsa:4855,7
hsa:7133,7
hsa:4314,7
hsa:6648,7
hsa:3575,7
hsa:5900,7
hsa:3579,7
hsa:4292,7
hsa:10023,7
hsa:113026,7
hsa:5153,7
hsa:1909,7
hsa:7850,7
hsa:1440,7
hsa:4218,7
hsa:226,7
hsa:5167,7
hsa:5169,7
hsa:2571,7
